,dire_name,dire_score,dire_team_id,duration,league_name,leagueid,match_id,radiant_name,radiant_score,radiant_team_id,radiant_win,series_id,series_type,start_time
0,ForTheDream,10,5000254.0,2231,Dota 2 Professional League 2016,4920,3546786581,Vici Gaming Potential,36,2833354.0,True,175983.0,2.0,1509977401
1,ForTheDream,30,5000254.0,2258,Dota 2 Professional League 2016,4920,3546673102,Vici Gaming Potential,24,2833354.0,False,175983.0,2.0,1509974182
2,Vici Gaming Potential,36,2833354.0,2116,Dota 2 Professional League 2016,4920,3546567824,ForTheDream,16,5000254.0,False,175983.0,2.0,1509971120
3,ForTheDream,23,5000254.0,3937,Dota 2 Professional League 2016,4920,3546409724,Vici Gaming Potential,44,2833354.0,True,175983.0,2.0,1509966061
4,Generation of Miracles,31,5063723.0,1329,AEF Season 2,5491,3546320523,Robot House,8,5047756.0,False,175976.0,1.0,1509962837
5,Vici Gaming,10,726228.0,1344,AMD SAPPHIRE Dota PIT,5690,3545411013,Team Liquid,28,2163.0,True,175774.0,2.0,1509912601
6,Team Liquid,32,2163.0,1601,AMD SAPPHIRE Dota PIT,5690,3545330410,Vici Gaming,14,726228.0,False,175774.0,2.0,1509909103
7,Team Liquid,30,2163.0,1280,AMD SAPPHIRE Dota PIT,5690,3545253155,Vici Gaming,13,726228.0,False,175774.0,2.0,1509905999
8,Vici Gaming,53,726228.0,2929,AMD SAPPHIRE Dota PIT,5690,3545125310,Team Liquid,25,2163.0,False,175774.0,2.0,1509901177
9,Vici Gaming,32,726228.0,2412,AMD SAPPHIRE Dota PIT,5690,3544999229,Team Liquid,22,2163.0,False,175774.0,2.0,1509896912
10,Vici Gaming,52,726228.0,3651,AMD SAPPHIRE Dota PIT,5690,3544710395,Newbee,38,1375614.0,False,175671.0,1.0,1509888700
11,ForTheDream,42,5000254.0,1811,Dota 2 Professional League 2016,4920,3544571330,Team Waooo,27,4997871.0,False,175677.0,1.0,1509885015
12,Vici Gaming,20,726228.0,2566,AMD SAPPHIRE Dota PIT,5690,3544548127,Newbee,25,1375614.0,True,175671.0,1.0,1509884390
13,ForTheDream,44,5000254.0,2486,Dota 2 Professional League 2016,4920,3544437630,Team Waooo,20,4997871.0,False,175677.0,1.0,1509881303
14,Vici Gaming,29,726228.0,2850,AMD SAPPHIRE Dota PIT,5690,3544380687,Newbee,30,1375614.0,False,175671.0,1.0,1509879617
15,Vici Gaming,20,726228.0,1949,AMD SAPPHIRE Dota PIT,5690,3543084625,Team Liquid,29,2163.0,True,175451.0,1.0,1509825149
16,Vici Gaming,30,726228.0,2608,AMD SAPPHIRE Dota PIT,5690,3542962816,Team Liquid,22,2163.0,True,175451.0,1.0,1509820581
